Fecha,lvl_h2o,Anio,Mes,wse_incertidumbre,ancho_m,reach_id_usado
2024-10-21,56.1868,2024,10,0.10271,1276.473764,61207000161
2024-11-11,78.9486,2024,11,0.86085,392.514967,61209100031
2024-11-11,77.1123,2024,11,0.10496,86.731104,61209100051
2024-11-11,59.3234,2024,11,0.09563,1641.475714,61207000171
2024-11-11,56.7594,2024,11,0.17496,753.452893,61207000161
2024-12-02,78.7521,2024,12,0.79337,592.362008,61209100031
2024-12-02,76.0109,2024,12,0.10638,172.163245,61209100051
2024-12-02,66.196,2024,12,0.1005,2676.204507,61207000171
2024-12-02,73.0553,2024,12,0.11272,1736.829535,61207000161
2024-12-06,56.4892,2024,12,0.09286,994.483129,61207000161
2024-12-06,59.2005,2024,12,0.09331,786.870624,61207000171
2024-12-06,75.6232,2024,12,0.11207,68.951674,61209100051
2024-12-06,78.6186,2024,12,0.09086,986.175661,61209100031
2024-12-23,75.9541,2024,12,0.11092,179.318383,61209100051
2024-12-23,78.4711,2024,12,0.81617,664.288841,61209100031
2024-12-23,58.9082,2024,12,0.10228,1737.807427,61207000171
2024-12-23,55.9603,2024,12,0.09211,1405.945804,61207000161
2024-12-27,56.1885,2024,12,0.09263,1101.729937,61207000161
2024-12-27,58.8948,2024,12,0.09161,945.732916,61207000171
2024-12-27,75.6481,2024,12,0.10706,89.735691,61209100051
2024-12-27,78.9247,2024,12,0.09088,988.729718,61209100031
2025-01-12,76.3697,2025,1,0.1388,103.940975,61209100051
2025-01-12,79.2992,2025,1,0.81596,702.687616,61209100031
2025-01-12,60.0774,2025,1,0.09982,2362.545866,61207000171
2025-01-12,57.1875,2025,1,0.09146,1553.810845,61207000161
2025-01-17,56.5399,2025,1,0.12607,20.710551,61207000161
2025-01-17,58.8947,2025,1,0.09542,316.127789,61207000171
2025-01-17,78.1989,2025,1,0.09105,875.563291,61209100031
2025-01-17,75.0272,2025,1,0.14328,66.131964,61209100051
2025-02-02,74.4931,2025,2,0.1124,146.326692,61209100051
2025-02-02,77.7026,2025,2,0.81625,593.17697,61209100031
2025-02-02,57.6501,2025,2,0.09585,2138.729121,61207000171
2025-02-02,55.5824,2025,2,0.09812,1238.684266,61207000161
2025-02-07,56.1798,2025,2,0.13845,247.464994,61207000161
2025-02-07,58.72,2025,2,0.09511,359.631677,61207000171
2025-02-07,75.2762,2025,2,0.17832,54.849329,61209100051
2025-02-07,78.3207,2025,2,0.09101,908.461947,61209100031
2025-02-23,76.9233,2025,2,0.10305,178.521667,61209100051
2025-02-23,79.4855,2025,2,0.81617,616.055082,61209100031
2025-02-23,61.4139,2025,2,0.11154,2479.51046,61207000171
2025-02-23,56.8671,2025,2,0.09201,1810.969661,61207000161
2025-03-16,76.5818,2025,3,0.10354,126.192562,61209100051
2025-03-16,79.4179,2025,3,0.78336,613.583441,61209100031
2025-03-16,61.5596,2025,3,0.10153,1650.203222,61207000171
2025-03-16,57.7185,2025,3,0.09887,1761.706574,61207000161
2025-03-21,56.8786,2025,3,0.26962,38.672248,61207000161
2025-03-21,60.0573,2025,3,0.09222,703.274973,61207000171
2025-03-21,76.8302,2025,3,0.09894,121.610922,61209100051
2025-03-21,79.8501,2025,3,0.09093,1050.275337,61209100031
2025-04-06,76.7302,2025,4,0.13349,138.940523,61209100051
2025-04-06,79.2409,2025,4,0.788,594.469058,61209100031
2025-04-06,59.6187,2025,4,0.13746,1704.938804,61207000171
2025-04-06,57.2973,2025,4,0.0916,2172.04808,61207000161
2025-04-10,57.458,2025,4,0.09268,980.571149,61207000161
2025-04-10,60.216,2025,4,0.09146,1120.555314,61207000171
2025-04-10,77.4971,2025,4,0.0971,137.453936,61209100051
2025-04-10,79.9246,2025,4,0.09087,1062.639533,61209100031
2025-04-27,77.5512,2025,4,0.09944,367.80933,61209100051
2025-04-27,79.7444,2025,4,0.78189,692.251713,61209100031
2025-04-27,72.4953,2025,4,0.12481,2849.925277,61207000171
2025-04-27,83.9581,2025,4,0.0965,1640.414596,61207000161
2025-05-01,58.0574,2025,5,0.09247,1261.637337,61207000161
2025-05-01,60.8034,2025,5,0.09148,1059.520525,61207000171
2025-05-01,77.7439,2025,5,0.09728,196.093591,61209100051
2025-05-01,80.3526,2025,5,0.09078,1190.011665,61209100031
2025-05-18,79.8792,2025,5,0.81613,711.399385,61209100031
2025-05-18,77.5941,2025,5,0.10249,439.273363,61209100051
2025-05-18,60.4684,2025,5,0.21929,1512.414863,61207000171
2025-05-18,57.6961,2025,5,0.0942,1843.133449,61207000161
2025-05-22,58.2193,2025,5,0.10256,325.232822,61207000161
2025-05-22,61.0359,2025,5,0.09192,1123.447953,61207000171
2025-05-22,77.7781,2025,5,0.10644,225.648965,61209100051
2025-05-22,80.3981,2025,5,0.09081,1326.148635,61209100031
2025-06-07,76.6799,2025,6,0.1092,260.685055,61209100051
2025-06-07,79.3881,2025,6,0.81675,750.999933,61209100031
2025-06-07,64.1415,2025,6,0.10886,1963.475639,61207000171
2025-06-07,64.5656,2025,6,0.09867,1321.412342,61207000161
2025-06-12,57.3546,2025,6,0.09331,966.471826,61207000161
2025-06-12,60.0962,2025,6,0.09258,1105.077197,61207000171
2025-06-12,79.6638,2025,6,0.09088,1035.067001,61209100031
2025-06-12,76.8057,2025,6,0.13891,84.850396,61209100051
2025-06-28,76.3799,2025,6,0.10264,265.236691,61209100051
2025-06-28,79.534,2025,6,0.81601,684.632164,61209100031
2025-06-28,61.2274,2025,6,0.10148,2528.952695,61207000171
2025-06-28,57.2559,2025,6,0.09196,1705.569942,61207000161
2025-07-03,56.8166,2025,7,0.11092,215.611081,61207000161
2025-07-03,59.4257,2025,7,0.09308,562.665908,61207000171
2025-07-03,76.1596,2025,7,0.11394,77.687319,61209100051
2025-07-03,78.9295,2025,7,0.09096,969.861414,61209100031
2025-07-19,75.885,2025,7,0.09819,138.990128,61209100051
2025-07-19,79.0205,2025,7,0.7861,594.649757,61209100031
2025-07-19,58.4582,2025,7,0.10031,1508.371033,61207000171
2025-07-19,56.6187,2025,7,0.09184,1485.545126,61207000161
2025-07-24,56.833,2025,7,0.12973,39.571396,61207000161
2025-07-24,59.263,2025,7,0.09285,469.353355,61207000171
2025-07-24,75.9058,2025,7,0.1358,62.649808,61209100051
2025-07-24,78.5917,2025,7,0.09092,955.217375,61209100031
2025-08-09,78.4008,2025,8,0.81634,659.441056,61209100031
2025-08-09,75.4932,2025,8,0.09707,157.570874,61209100051
2025-08-09,58.8825,2025,8,0.12087,2277.807539,61207000171
